symbol,description,base_currency,quote_currency,min_lot,max_lot,lot_step,spread,digits,point,tick_value,contract_size,margin_initial,margin_maintenance
EURJPYm,Euro vs Japanese Yen,EUR,JPY,0.01,200.0,0.01,0,3,0.001,0.6788221078784095,100000.0,0.0,0.0
EURMXNm,Euro vs Mexican Peso,EUR,MXN,0.01,200.0,0.01,0,5,1e-05,0.053565048591533826,100000.0,100000.0,0.0
EURNOKm,Euro vs Norwegian Krona,EUR,NOK,0.01,200.0,0.01,0,5,1e-05,0.09720241722971167,100000.0,100000.0,0.0
EURNZDm,Euro vs New Zealand Dollar,EUR,NZD,0.01,200.0,0.01,0,5,1e-05,0.59463,100000.0,0.0,0.0
EURPLNm,Euro vs Zloty,EUR,PLN,0.01,200.0,0.01,0,5,1e-05,0.27223848090927655,100000.0,100000.0,0.0
EURSEKm,Euro vs Swedish Krona,EUR,SEK,0.01,200.0,0.01,0,5,1e-05,0.1035340306005181,100000.0,100000.0,0.0
EURSGDm,Euro vs Singapore Dollar,EUR,SGD,0.01,200.0,0.01,0,5,1e-05,0.7781132310373805,100000.0,100000.0,0.0
EURUSDm,Euro vs US Dollar,EUR,USD,0.01,200.0,0.01,9,5,1e-05,1.0,100000.0,0.0,0.0
EURZARm,Euro vs South African Rand,EUR,ZAR,0.01,200.0,0.01,0,5,1e-05,0.05635396602306681,100000.0,100000.0,0.0
FR40m,France 40 Index,EUR,EUR,0.01,300.0,0.01,0,2,0.01,0.0116378,1.0,0.0,0.0
FTNTm,"Fortinet, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
FUTUm,Futu Holdings Ltd,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
Fm,Ford Motor Company,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
GBPAUDm,Great Britain Pound vs Australian Dollar,GBP,AUD,0.01,200.0,0.01,0,5,1e-05,0.65121,100000.0,0.0,0.0
GBPCADm,Great Britain Pound vs Canadian Dollar,GBP,CAD,0.01,200.0,0.01,0,5,1e-05,0.7268921001366558,100000.0,0.0,0.0
GBPCHFm,Great Britain Pound vs Swiss Franc,GBP,CHF,0.01,200.0,0.01,0,5,1e-05,1.238098775520311,100000.0,0.0,0.0
GBPDKKm,Great Britain Pound vs Danish Krona,GBP,DKK,0.01,200.0,0.01,0,5,1e-05,0.15584820384945067,100000.0,100000.0,0.0
GBPILSm,Great Britain Pound vs New Israeli Shekel,GBP,ILS,0.01,200.0,0.01,0,5,1e-05,0.29274261776303656,100000.0,100000.0,0.0
GBPJPYm,Great Britain Pound vs Japanese Yen,GBP,JPY,0.01,200.0,0.01,0,3,0.001,0.6788221078784095,100000.0,0.0,0.0
GBPMXNm,Great Britain Pound vs Mexican Peso,GBP,MXN,0.01,200.0,0.01,0,5,1e-05,0.053565048591533826,100000.0,100000.0,0.0
GBPNOKm,Great Britain Pound vs Norwegian Krona,GBP,NOK,0.01,200.0,0.01,0,5,1e-05,0.09720241722971167,100000.0,100000.0,0.0
GBPNZDm,Great Britain Pound vs New Zealand Dollar,GBP,NZD,0.01,200.0,0.01,0,5,1e-05,0.59463,100000.0,0.0,0.0
GBPPLNm,Great Britain Pound vs Zloty,GBP,PLN,0.01,200.0,0.01,0,5,1e-05,0.27223848090927655,100000.0,100000.0,0.0
GBPSEKm,Great Britain Pound vs Swedish Krona,GBP,SEK,0.01,200.0,0.01,0,5,1e-05,0.1035340306005181,100000.0,100000.0,0.0
GBPSGDm,Great Britain Pound vs Singapore Dollar,GBP,SGD,0.01,200.0,0.01,0,5,1e-05,0.7781132310373805,100000.0,100000.0,0.0
GBPUSDm,Great Britain Pound vs US Dollar,GBP,USD,0.01,200.0,0.01,11,5,1e-05,1.0,100000.0,0.0,0.0
GBPZARm,Great Britain Pound vs South African Rand,GBP,ZAR,0.01,200.0,0.01,0,5,1e-05,0.05635396602306681,100000.0,100000.0,0.0
GILDm,"Gilead Sciences, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
GOOGLm,Alphabet Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
HDm,"Home Depot, Inc. (The)",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
HK50m,Hong Kong 50 Index,HKD,HKD,0.01,500.0,0.01,0,1,0.1,0.012736079147090254,1.0,0.0,0.0
HKDJPYm,Hong Kong Dollar vs Japanese Yen,HKD,JPY,0.01,200.0,0.01,0,3,0.001,0.6788221078784095,100000.0,0.0,0.0
